metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
couchdb.couchdb.db_open_time.variance,gauge,,millisecond,,Variance of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.standard_deviation,gauge,,millisecond,,Standard_deviation of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.skewness,gauge,,millisecond,,Skewness of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.kurtosis,gauge,,millisecond,,Kurtosis of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.50,gauge,,millisecond,,Percentile 50 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.75,gauge,,millisecond,,Percentile 75 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.90,gauge,,millisecond,,Percentile 90 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.95,gauge,,millisecond,,Percentile 95 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.99,gauge,,millisecond,,Percentile 99 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.percentile.999,gauge,,millisecond,,Percentile 999 of the milliseconds required to open a database,-1,couchdb2,
couchdb.couchdb.db_open_time.n,gauge,,millisecond,,N of the milliseconds required to open a database,0,couchdb2,
couchdb.couchdb.document_inserts,gauge,,document,,number of documents inserted,0,couchdb2,
couchdb.couchdb.document_writes,gauge,,write,,number of document write operations,0,couchdb2,
couchdb.couchdb.local_document_writes,gauge,,write,,number of _local document write operations,0,couchdb2,
couchdb.couchdb.httpd_request_methods.COPY,gauge,,request,,number of HTTP COPY requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.DELETE,gauge,,request,,number of HTTP DELETE requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.GET,gauge,,request,,number of HTTP GET requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.HEAD,gauge,,request,,number of HTTP HEAD requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.OPTIONS,gauge,,request,,number of HTTP OPTIONS requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.POST,gauge,,request,,number of HTTP POST requests,0,couchdb2,
couchdb.couchdb.httpd_request_methods.PUT,gauge,,request,,number of HTTP PUT requests,0,couchdb2,
couchdb.couchdb.httpd_status_codes.200,gauge,,request,,number of HTTP 200 OK responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.201,gauge,,request,,number of HTTP 201 Created responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.202,gauge,,request,,number of HTTP 202 Accepted responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.204,gauge,,request,,number of HTTP 204 No Content responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.206,gauge,,request,,number of HTTP 206 Partial Content,0,couchdb2,
couchdb.couchdb.httpd_status_codes.301,gauge,,request,,number of HTTP 301 Moved Permanently responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.302,gauge,,request,,number of HTTP 302 Found responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.304,gauge,,request,,number of HTTP 304 Not Modified responses,0,couchdb2,
couchdb.couchdb.httpd_status_codes.400,gauge,,request,,number of HTTP 400 Bad Request responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.401,gauge,,request,,number of HTTP 401 Unauthorized responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.403,gauge,,request,,number of HTTP 403 Forbidden responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.404,gauge,,request,,number of HTTP 404 Not Found responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.405,gauge,,request,,number of HTTP 405 Method Not Allowed responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.406,gauge,,request,,number of HTTP 406 Not Acceptable responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.409,gauge,,request,,number of HTTP 409 Conflict responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.412,gauge,,request,,number of HTTP 412 Precondition Failed responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.413,gauge,,request,,number of HTTP 413 Request Entity Too Long responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.414,gauge,,request,,number of HTTP 414 Request URI Too Long responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.415,gauge,,request,,number of HTTP 415 Unsupported Media Type responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.416,gauge,,request,,number of HTTP 416 Requested Range Not Satisfiable responses,-1,couchdb2,
